Material,Materialdescription,Price
3100000069    ,VITAL FLOUR LOW GLUTEN (22.5 KG),0
3100000070    ,VITAL FLOUR LOW GLUTEN (25 KG) NB,15.95
3100000071    ,VITAL FLOUR F3 (22.5 KG),16.13
3100000072    ,VITAL FLOUR F3 (25 KG) NB,16.05
3100000073    ,WHEAT BRAN (50 KG),9.18
3100000074    ,WHEAT BRAN,8.76
3100000075    ,VITAL GEN (25 KG) NB,15.93
3100000076    ,MIXED FLOUR (22.5 KG),14.1
3100000077    ,MIXED FLOUR (25 KG) NB,14.15
3100000078    ,VITAL FLOUR G.36 (BULK),16.68
3100000079    ,VITAL FLOUR G.32 (BULK),16.4
3100000080    ,Start up flour,14.09
3100000081    ,BREAD FLOUR BAKER'STIME 03 (BULK),18.41
3100000082    ,BREAD FLOUR BAKER'STIME 04 (BULK),18.69
3100000083    ,VITAL FLOUR G.28 (BULK),15.88
3100000090    ,VITAL WHOLE WHEAT,13.16
3100000091    ,ALL PURPOSE FLOUR HAPPYTIME 04 PAPER BAG,15.19
3100000092    ,ALL PURPOSE FLOUR HAPPYTIME 01 (BULK),15.82
3100000093    ,BREAD FLOUR BAKER'TIME 01 (BULK),18.78
3100000094    ,BREAD FLOUR BAKER'TIME MR1 (22.5 KG),17.98
3100000095    ,ALL PURPOSE FLOUR HAPPYTIME MR1 (22.5KG),16.03
3100000096    ,WIP á»é§,14
3100000097    ,BREAD FLOUR SNOWFLAKE (1 KG),0
3100000098    ,ALL PURPOSE SNOWFLAKE (1 KG),0
3100000099    ,CAKE FLOUR SNOWFLAKE (1 KG),0
3100000100    ,SALAPAO FLOUR SNOWFLAKE (1 KG),0
3100000101    ,PATONGGO SNOWFLAKE (1 KG),0
3100000102    ,BREAD FLOUR SAMPLE,36.7
3100000103    ,ALL PURPOSE FLOUR SAMPLE,35.29
3100000104    ,NOODLE FLOUR SAMPLE,17.39
3100000105    ,BISCUITS FLOUR SAMPLE,35.12
3100000106    ,CAKE FLOUR SAMPLE,25
3100000107    ,VITAL FLOUR SAMPLE,36.22
3100000112    ,MIXED FLOUR (BULK),13.8
3100000115    ,MIXED FLOUR (BULK),13.8
3100000117    ,WIP (BULK),9.6
3100000122    ,ALL PURPOSE FLOUR HAPPYTIME 04 (BULK),14.29
3100000124    ,Â¡àÅÔ¡  HAPPYTIMEURC(22.5KG)NB,0
3100000125    ,BISCUITS FLOUR PARTYTIME 04 (25 KG),0
3100000127    ,BISCUITS FLOUR PARTYTIME 04 (22.5 KG),16.11
3100000129    ,BISCUIT FLOUR PARTYTIME NL1 (25.0 KG) NB,17.66
3100000130    ,BISCUIT FLOUR PARTYTIME NL1 (BULK),17.33
3100000131    ,INSTANT NOODLE FLOUR 01 (BULK),0
3100000132    ,Flour-Bread6,14.36
3100000133    ,VITAL FLOUR G.34 (BULK),16.46
3100000143    ,NOODLE FLOUR GOLDENTIME 03 (22.5 KG),19.46
3100000144    ,NOODLE FLOUR GOLDENTIME 04 (22.5 KG),19.38
3100000145    ,Flour-Noodle3,18.81
3100000146    ,BISCUITS FLOUR PARTYTIME 02 (22.5 KG),15.53
3100000147    ,ALL PURPOSE FLOUR HAPPYTIME 05 (1 KG) NB,26.6
3100000148    ,ALL PURPOSE FLOUR HAPPYTIME05(22.5 KG)NB,15.92
3100000153    ,ALL PURPOSE FLOUR HAPPYTIME 01 (1 KG) NB,27.64
3100000154    ,ALL PURPOSE FLOUR HAPPYTIME01(22.5KG) NB,16.96
