Process Order,Brand Flour,Production Plan (MT),"Weight (MT)
(cleaning scale)","Weight (MT)
(Flow balancer)",Water (MT),"Wheat input 
B1 scale (MT)","Moisture
RM","Moisture
B1/IBK","Moisture F1
LCL = 12.8
UCL = 13.5",
3540    ,PL-C/P(NOODLE),90.00,85.283,86.982,4.398,88.878, 11.00 , 15.10 , 13.35 ,
3541    ,PL-C/P 2,60.00,57.183,58.389,2.927,59.967, 11.10 , 15.30 , 13.50 ,
3543    ,PL-VT34,80.00,72.802,74.454,3.597,77.381, 11.90 , 15.90 , 13.50 ,
3542    ,PL-SW10.5%,60.00,54.311,56.636,3.680,59.227, 9.70 , 14.10 , 13.50 ,
3546    ,PL-VT28,90.00,86.288,87.911,3.381,89.288, 11.60 , 15.20 , 13.00 ,
3547    ,PL-VT28,80.00,79.417,81.202,3.391,83.483, 11.15 , 16.20 , 13.30 ,
3550    ,PL-VT28(FOOD),90.00,84.837,88.027,2.832,89.216, 12.00 , 15.30 , 13.70 ,
3351    ,PL-VT28,90.00,85.242,87.547,6.119,90.688, 11.30 , 16.20 , 13.40 ,
3526    ,PL-VT28,80.00,76.712,77.841,4.148,81.933, 11.30 , 16.20 , 13.40 ,
3556    ,PL-DNS(BREAD),90.00,79.214,81.084,3.519,81.676, 11.90 , 16.40 , 13.90 ,
3557    ,PL-APW10.5%,80.00,74.782,78.391,4.411,78.432, 10.70 , 15.40 , 13.50 ,
3568    ,PL-C/P(NOODLE),90.00,85.314,87.548,4.764,88.043, 10.40 , 15.40 , 14.00 ,
3569    ,PL-C/P 2,80.00,69.858,72.089,3.951,71.152, 10.40 , 15.80 , 13.40 ,
3533    ,PL-VT34,80.00,53.640,54.794,2.476,56.154, 11.60 , 15.90 , 13.50 ,
3575    ,PL-VT28,90.00,85.383,88.820,3.857,89.480, 11.60 , 15.90 , 13.50 ,
3576    ,PL-VT28,80.00,72.028,73.667,2.810,75.192, 11.70 , 15.70 , 13.10 ,
3577    ,PL-DNS(BREAD),80.00,71.088,71.937,2.816,73.739, 12.00 , 15.70 , 13.80 ,
3583    ,PL-VT28,90.00,85.279,86.802,3.286,89.542, 12.20 , 15.60 , 13.30 ,
3584    ,PL-VT28,80.00,72.560,74.487,2.614,75.839, 12.05 , 15.50 , 13.30 ,
3585    ,PL-VT34,80.00,75.340,78.628,3.384,78.918, 12.20 , 16.00 , 13.50 ,
3587    ,PL-VT28,80.00,82.644,86.160,3.071,86.626, 12.30 , 16.00 , 13.50 ,
3590    ,PL-VT34,80.00,80.380,82.814,4.280,85.892, 11.60 , 15.90 , 13.05 ,
3592    ,PL-APW10.5%,90.00,84.978,88.608,4.627,88.602, 10.10 , 15.20 , 13.70 ,
3593    ,PL-C/P(NOODLE),90.00,85.352,89.072,4.199,90.098, 11.00 , 15.40 , 13.43 ,
3594    ,PL-C/P 2,80.00,62.706,65.550,3.131,66.108, 11.10 , 15.10 , 13.80 ,
3595    ,PL-VT34,80.00,78.452,80.540,4.627,83.979, 11.00 , 15.70 , 13.45 ,
3602    ,PL-ASW,90.00,85.258,89.309,4.481,87.621, 10.40 , 15.30 , 13.25 ,
3603    ,PL-VT34,80.00,72.245,73.834,3.758,76.726, 11.10 , 15.60 , 13.50 ,
3613    ,PL-DNS(BREAD),90.00,80.205,81.403,3.316,83.753, 11.80 , 15.10 , 13.90 ,
3619    ,PL-VT28,80.00,75.284,77.104,2.829,77.864, 11.80 , 15.90 , 13.45 ,
3588    ,PL-VT28,80.00,75.316,77.911,2.780,78.635, 12.40 , 16.10 , 13.35 ,
3621    ,PL-DNS(BREAD),90.00,79.194,81.406,3.244,82.781, 11.60 , 15.50 , 13.15 ,
3627    ,PL-SW10.5%,40.00,52.202,54.438,3.248,55.162, 9.20 , 14.70 , 12.80 ,
3620    ,PL-VT28,90.00,76.648,78.776,2.821,79.503, 11.80 , 15.60 , 13.20 ,
3629    ,PL-VT28,90.00,85.310,87.784,3.111,88.168, 11.40 , 15.60 , 13.45 ,
3630    ,PL-VT28,90.00,85.273,88.102,3.183,88.340, 11.60 , 15.70 , 13.00 ,
3625    ,PL-VT28,90.00,85.235,87.976,3.306,88.763, 11.60 , 15.80 , 13.00 ,
3626    ,PL-VT28,90.00,85.316,88.073,3.494,88.745, 12.20 , 16.10 , 13.40 ,
3636    ,PL-C/P(NOODLE),90.00,85.082,89.046,4.654,88.340, 10.90 , 15.10 , 13.50 ,
