Process Order,Brand Flour,Production Plan (MT),"Weight (MT)
(cleaning scale)","Weight (MT)
(Flow balancer)",Water (MT),"Wheat input 
B1 scale (MT)","Moisture
RM","Moisture
B1/IBK","Moisture F1
LCL = 12.8
UCL = 13.5",
3867    ,PL-DNS(BREAD),90.00,81.178,82.752,4.211,85.029,10.90,15.20,13.40,
3874    ,PL-C/P 2,70.00,63.819,65.602,3.507,66.733,11.30,15.40,13.40,
3860    ,PL-VT34,70.00,70.309,72.668,3.585,74.295,11.90,16.30,13.70,
3859    ,PL-VT28,80.00,85.243,85.613,2.365,88.171,12.70,15.50,13.15,
3875    ,PL-DNS(BREAD),90.00,80.838,81.586,4.240,84.922,11.70,15.10,13.40,
3868    ,PL-VT28,90.00,85.260,85.851,2.412,88.329,11.70,15.30,13.10,
3876    ,PL-VT28,90.00,85.216,85.820,2.699,88.549,12.50,15.60,13.35,
3881    ,PL-APW10.5%,70.00,55.289,56.067,2.835,56.596,10.40,14.80,13.25,
3884    ,PL-C/P(NOODLE),90.00,63.445,64.948,3.451,66.238,11.20,15.60,13.60,
3882    ,PL-VT28,90.00,85.254,85.684,3.448,88.659,11.70,15.40,13.25,
3883    ,PL-VT28,90.00,85.258,85.735,3.968,89.427,11.40,15.40,13.00,
3885    ,PL-VT28,80.00,80.230,80.663,4.034,85.141,10.70,15.00,12.90,
3886    ,PL-VT28,80.00,66.090,66.451,3.624,70.231,12.40,15.50,13.20,
3887    ,PL-C/P(NOODLE),70.00,65.255,66.749,3.557,67.673,10.90,15.50,13.85,
3888    ,PL-VT28,90.00,85.251,85.722,4.676,88.880,11.00,15.80,13.50,
3889    ,PL-VT28,90.00,85.295,86.020,5.335,91.114,11.10,16.30,13.70,
3894    ,PL-VT28,80.00,75.218,75.719,4.390,80.093,11.00,15.80,13.45,
3895    ,PL-VT28,80.00,42.233,42.662,2.449,44.978,11.00,15.90,13.50,
3900    ,PL-C/P(NOODLE),80.00,75.273,76.777,4.013,78.548,10.90,15.50,13.70,
3896    ,PL-DNS(BREAD),90.00,80.672,83.479,4.353,83.995,10.90,15.70,13.45,
3901    ,PL-DNS(BREAD),90.00,80.807,81.465,4.372,84.688,11.00,15.60,13.65,
3902    ,PL-APW10.5%,80.00,82.912,84.494,4.271,84.591,11.00,15.00,13.40,
3903    ,PL-VT28(FOOD),80.00,72.563,72.597,2.147,75.074,12.40,15.70,13.75,
3913    ,VITAL WHOLE WHEAT,800.00,869.019,871.302,0.000,879.145, - , - , - ,
3925    ,PL-VT28,90.00,80.284,82.859,3.203,84.866,12.40,15.70,13.95,
3926    ,PL-VT28,90.00,55.450,57.058,2.037,57.650,11.50,16.60,13.95,
3928    ,PL-DNS(BREAD),90.00,70.763,71.971,3.737,74.524,10.96,15.60,13.97,
3929    ,PL-VT28,80.00,75.316,75.680,2.455,78.155,12.70,16.00,13.70,
3944    ,PL-VT34,80.00,72.159,72.534,3.534,76.374,11.80,16.00,14.20,
3940    ,PL-DNS(BREAD),90.00,81.632,83.214,4.276,85.533,11.40,15.50,13.60,
3919    ,PL-VT28,80.00,75.301,75.240,2.429,78.376,12.50,16.40,13.45,
3941    ,PL-VT28,80.00,68.307,68.367,2.101,70.833,12.40,15.30,13.50,
3949    ,PL-APW10.5%,90.00,70.215,70.557,3.600,72.488,11.10,15.00,13.45,
3950    ,PL-ASW,70.00,66.980,69.583,3.337,68.644,10.30,15.50,13.20,
3951    ,PL-DNS(BREAD),90.00,80.507,81.636,4.160,83.709,11.00,15.60,13.50,
3953    ,PL-VT34,90.00,83.488,85.392,4.177,91.842,12.10,16.00,13.55,
3939    ,PL-C/P(NOODLE),90.00,89.062,90.284,4.458,90.974,11.10,15.20,13.70,
3945    ,PL-VT28,80.00,75.316,76.030,2.542,77.884,12.00,15.20,13.47,
3959    ,PL-VT34,90.00,85.304,85.813,3.991,86.383,11.90,15.80,14.00,
3954    ,PL-VT28,90.00,85.286,85.916,2.958,88.406,12.60,15.80,14.00,
3712    ,PL-VT28,70.00,67.232,68.386,2.399,69.901,12.10,15.70,13.55,
3963    ,PL-APW10.5%,80.00,72.748,73.232,3.793,74.431,11.10,15.90,13.50,
3964    ,PL-VT28,90.00,85.238,87.600,3.257,88.997,12.40,15.50,13.50,
3965    ,PL-VT28,80.00,75.261,76.037,2.858,78.589,12.30,15.60,13.55,
3970    ,PL-C/P(NOODLE),90.00,80.915,82.984,3.692,84.433,12.00,15.70,13.65,
3971    ,PL-VT28,80.00,75.303,77.134,2.885,78.612,12.00,15.70,13.65,
3972    ,PL-VT28,80.00,75.300,78.204,2.941,78.743,12.30,16.00,13.45,
3981    ,PL-C/P(NOODLE),70.00,65.299,67.397,3.031,67.160,11.60,15.20,13.50,
3982    ,PL-C/P 2,90.00,78.055,80.168,3.681,80.355,11.00,15.10,13.40,
3983    ,PL-DNS(BREAD),90.00,80.904,82.307,4.179,84.204,11.20,15.60,13.45,
3989    ,PL-VT28(FOOD),90.00,83.557,85.577,2.747,86.238,11.90,15.20,13.25,
3988    ,PL-ASW,70.00,67.053,67.366,3.421,68.420,10.40,14.10,13.35,
3987    ,PL-APW10.5%,90.00,77.326,79.103,4.252,81.451,10.40,15.40,13.50,
3994    ,VITAL WHOLE WHEAT,1000.00,920.014,924.661,0.002,938.453, - , - , - ,
3927    ,PL-C/P(NOODLE),90.00,85.255,87.637,3.941,89.181,11.30,15.20,13.77,
4010    ,PL-C/P(NOODLE),80.00,75.078,77.107,3.191,77.164,11.20,15.30,13.75,
4011    ,PL-DNS(BREAD),80.00,77.050,80.921,3.898,81.510,10.80,14.60,13.20,
4012    ,PL-DNS(BREAD),80.00,71.944,72.651,3.742,76.505,11.40,15.60,13.47,
4014    ,PL-ASW,80.00,73.058,74.284,4.080,76.270,10.10,15.00,13.30,
4013    ,PL-APW10.5%,90.00,85.312,87.208,3.812,88.992,10.10,15.40,13.45,
4017    ,PL-DNS(BREAD),80.00,71.924,74.973,3.717,75.242,12.50,15.60,13.50,
4019    ,PL-C/P(NOODLE),90.00,84.042,86.624,3.864,87.836,11.40,15.20,13.56,
4018    ,PL-DNS(BREAD),80.00,71.837,72.521,3.693,74.688,11.40,15.80,13.50,
4029    ,PL-C/P(NOODLE),90.00,81.419,84.728,3.788,84.590,11.90,15.20,13.50,
3715    ,PL-VT28,80.00,78.300,79.812,3.062,82.370,12.20,15.70,13.60,
3805    ,PL-VT28,80.00,78.244,80.042,2.996,82.511, 12.60 , 15.60 , 13.60 ,
4030    ,PL-APW10.5%,90.00,85.312,88.308,4.301,89.436, 10.80 , 15.10 , 13.75 ,
3955    ,PL-VT28(FOOD),90.00,83.095,83.686,2.174,86.306, 12.60 , 15.40 , 13.45 ,
4031    ,PL-VT34,70.00,65.282,68.353,2.846,68.236, 11.80 , 15.20 , 13.75 ,
4044    ,PL-DNS(BREAD),90.00,80.222,81.531,4.014,83.827, 11.20 , 15.80 , 13.50 ,
4039    ,PL-VT28,90.00,85.304,87.601,3.317,88.607, 12.30 , 16.00 , 13.65 ,
4040    ,PL-VT28,70.00,65.256,67.397,2.875,68.766, 12.10 , 15.70 , 13.63 ,
4045    ,PL-VT28,90.00,85.288,87.487,3.441,89.889, 12.40 , 16.00 , 13.58 ,
4046    ,PL-VT28,80.00,75.279,77.348,2.954,79.358, 12.60 , 16.20 , 13.57 ,
4047    ,PL-VT28,80.00,75.299,77.956,3.063,79.426, 12.60 , 16.20 , 13.40 ,
4052    ,PL-VT28,80.00,75.307,78.693,3.027,79.421, 12.10 , 15.50 , 13.37 ,
4050    ,PL-C/P(NOODLE),90.00,85.253,87.565,3.847,88.935, 11.30 , 15.30 , 13.67 ,
4051    ,PL-C/P 2,80.00,75.535,77.682,3.450,78.486, 11.60 , 15.30 , 13.35 ,
4053    ,PL-VT28,80.00,75.257,78.705,3.065,78.759, 12.00 , 15.30 , 13.35 ,
4054    ,PL-DNS(BREAD),80.00,75.225,76.424,3.800,79.144, 11.10 , 15.55 , 13.43 ,
4055    ,PL-C/P(NOODLE),90.00,82.084,85.234,3.756,85.195, 11.40 , 15.40 , 13.43 ,
4059    ,PL-VT34,70.00,69.573,73.037,2.984,72.050, 11.80 , 15.40 , 13.10 ,
4060    ,PL-VT28,90.00,85.275,87.363,3.536,89.209, - , - , - ,
4061    ,PL-VT28,90.00,85.249,87.467,3.523,89.264, 12.00 , - , - ,
4067    ,PL-VT28,90.00,85.280,88.685,3.699,89.541, 12.00 , 15.80 , 13.15 ,
4068    ,PL-VT34,90.00,85.329,87.785,3.623,88.000, 12.10 , 16.10 , 13.50 ,
4075    ,PL-DNS(BREAD),70.00,59.793,60.963,2.795,62.808, 11.10 , 15.40 , 13.50 ,
4077    ,PL-ASW,70.00,61.238,64.181,3.545,65.049, 10.50 , 14.50 , 12.90 ,
3830    ,VITAL WHOLE WHEAT,750.00,775.467,782.842,0.006,792.870, - , - , - ,
4084    ,PL-C/P(NOODLE),90.00,85.259,86.335,3.874,87.515, - , 15.50 , 13.80 ,
4085    ,PL-C/P 2,80.00,70.378,71.223,3.201,70.619, 11.30 , 15.30 , 13.55 ,
4069    ,PL-APW10.5%,80.00,75.744,77.050,3.734,77.495, 11.20 , 15.60 , 13.83 ,
4086    ,PL-C/P(NOODLE),90.00,84.561,85.947,4.009,83.601, 11.00 , 15.10 , 13.50 ,
4038    ,PL-VT28,80.00,75.273,76.096,3.071,78.099, 11.80 , 15.40 , 13.40 ,
4087    ,PL-VT28,80.00,75.263,76.581,3.059,78.484, 11.70 , 15.70 , 13.30 ,
4090    ,PL-DNS(BREAD),80.00,72.522,71.547,3.358,75.076, 11.30 , 15.65 , 13.40 ,
4091    ,PL-VT28,90.00,85.252,86.283,3.587,89.154, 11.90 , 15.80 , 13.43 ,
4092    ,PL-VT28,80.00,75.250,76.196,3.304,79.033, 11.90 , 15.60 , 13.37 ,
4098    ,PL-APW10.5%,90.00,83.066,82.360,4.687,86.737, 10.70 , 15.25 , 13.00 ,
4099    ,PL-VT28,80.00,75.266,75.679,3.085,77.659, 12.30 , 15.55 , 13.33 ,
4100    ,PL-VT28,80.00,75.296,75.963,3.106,78.351, 12.20 , 15.50 , 13.37 ,
4106    ,PL-DNS(BREAD),90.00,82.335,84.600,4.099,85.975, 11.40 , 15.20 , 13.77 ,
4107    ,PL-ASW,80.00,75.282,76.597,4.366,78.187, 10.40 , 15.05 , 13.50 ,
4108    ,PL-VT34,80.00,75.309,77.091,4.161,79.968, 11.00 , 15.20 , 13.40 ,
4113    ,PL-DNS(BREAD),80.00,72.411,74.418,3.747,75.626, 11.40 , 15.45 , 13.80 ,
