PO,MaterialNO,MaterialDescription,Batch,Date,Movementtype,Storagelocation,Qtyinbaseun.+sign(MEINS),Quantity(/CWM/MEINS),Quantity,Note
2768,3100000024,F3-LOW,230107002A,01/07/2023,101,3403,-5512,0,-5512,
2768,3100000074,WHEAT BRAN,230107002A,01/07/2023,101,4601,-13630,0,-13630,
2768,3100000080,Start up flour,230107002A,01/07/2023,101,3921,-2570,0,-2570,
2769,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2211120003,01/05/2023,261,3107,21248.57,0,21248.57,1
2769,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2211120004,01/05/2023,261,3107,17502.43,0,17502.43,1
2769,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2212140008,01/05/2023,261,3107,16799.1,0,16799.1,1
2769,3200000011,RM-DNS14.5-DARK NORTHERN SPRING14.5%,2212140009,01/05/2023,261,3107,12550.9,0,12550.9,1
2769,3100000001,PL-DNS (BREAD),230106001A,01/06/2023,101,3405,-47166,0,-47166,
2769,3100000025,F3-HIGH,230106002A,01/06/2023,101,3404,-3405,0,-3405,
2769,3100000074,WHEAT BRAN,230106001A,01/06/2023,101,4601,-14336,0,-14336,
2769,3100000080,Start up flour,230106001A,01/06/2023,101,3921,-2632,0,-2632,
2770,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220003,01/05/2023,261,3101,26977,0,26977,1
2770,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270002,01/05/2023,261,3105,13765.7,0,13765.7,1
2770,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270003,01/05/2023,261,3105,49345.3,0,49345.3,1
2770,3100000011,PL-VT28,230106002A,01/06/2023,101,3402,-67465,0,-67465,
2770,3100000011,PL-VT28,230106002A,01/06/2023,101,3402,-6036,0,-6036,Start up flour (GR)
2770,3100000074,WHEAT BRAN,230106002A,01/06/2023,101,4601,-15149,0,-15149,
2770,3100000080,Start up flour,230106003A,01/06/2023,101,3921,-2694,0,-2694,
2770,3100000080,Cleaning Flour,230106003A,01/06/2023,261,3921,2239,0,2239,Start up flour (GI)
2770,3100000080,Cleaning Flour,230107002A,01/06/2023,261,3921,2570,0,2570,Start up flour (GI)
2770,3100000080,Cleaning Flour,230107004A,01/06/2023,261,3921,1227,0,1227,Start up flour (GI)
2770,3100000096,WIP,2211020071,01/06/2023,261,3001,16,360,360,REPROCESS
2770,3100000096,WIP,2211040031,01/06/2023,261,3001,4,90,90,REPROCESS
2770,3100000096,WIP,2211170021,01/06/2023,261,3001,1,22.5,22.5,REPROCESS
2770,3100000096,WIP,2211190021,01/06/2023,261,3001,29,652.5,652.5,REPROCESS
2772,3100000013,PL-VT34,230105002A,01/05/2023,101,3401,-52611,0,-52611,
2772,3100000013,PL-VT34,230105002A,01/05/2023,101,3401,-4450,0,-4450,Start up flour (GR)
2772,3100000013,PL-VT34,230105002A,01/05/2023,101,3409,-19265,0,-19265,
2772,3100000074,WHEAT BRAN,230105002A,01/05/2023,101,4601,-15408,0,-15408,
2772,3100000080,Cleaning Flour,230105001A,01/05/2023,261,3921,1363,0,1363,Start up flour (GI)
2772,3100000080,Cleaning Flour,230106001A,01/05/2023,261,3921,2632,0,2632,Start up flour (GI)
2772,3100000080,Cleaning Flour,230106003A,01/05/2023,261,3921,455,0,455,Start up flour (GI)
2772,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211010006,01/05/2023,261,3101,23081,0,23081,1
2772,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220001,01/05/2023,261,3101,5657.35,0,5657.35,1
2772,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220002,01/05/2023,261,3101,48343.8,0,48343.8,1
2772,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220003,01/05/2023,261,3101,11937.85,0,11937.85,1
2780,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220003,01/06/2023,261,3101,9261.5,0,9261.5,1
2780,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220004,01/06/2023,261,3101,13815.5,0,13815.5,1
2780,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270003,01/06/2023,261,3105,134.9,0,134.9,1
2780,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270004,01/06/2023,261,3105,24676.4,0,24676.4,1
2780,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270005,01/06/2023,261,3105,24539.2,0,24539.2,1
2780,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270006,01/06/2023,261,3105,4315.5,0,4315.5,1
2780,3100000011,PL-VT28,230107001A,01/07/2023,101,3402,-62550,0,-62550,
2780,3100000074,WHEAT BRAN,230107001A,01/07/2023,101,4601,-13385,0,-13385,
2781,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220004,01/06/2023,261,3101,22932,0,22932,1
2781,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270006,01/06/2023,261,3105,11504.3,0,11504.3,1
2781,3200000018,RM-UW12.5-UNION WHEAT12.5%,2205270007,01/06/2023,261,3105,41932.7,0,41932.7,1
2781,3100000011,PL-VT28,230107003A,01/07/2023,101,3402,-59718,0,-59718,
2781,3100000011,PL-VT28,230107003A,01/07/2023,101,3402,-4668,0,-4668,Start up flour (GR)
2781,3100000074,WHEAT BRAN,230107002A,01/07/2023,101,4601,-12888,0,-12888,
2781,3100000080,Start up flour,230107003A,01/07/2023,101,3921,-2298,0,-2298,
2781,3100000080,Cleaning Flour,230107004A,01/07/2023,261,3921,1461,0,1461,Start up flour (GI)
2781,3100000080,Cleaning Flour,230109001A,01/07/2023,261,3921,2301,0,2301,Start up flour (GI)
2781,3100000080,Cleaning Flour,230109002A,01/07/2023,261,3921,906,0,906,Start up flour (GI)
2781,3100000117,WIP,2210010022,01/07/2023,261,3001,20,0,20,REPROCESS
2781,3100000117,WIP,2211070011,01/07/2023,261,3001,25,0,25,REPROCESS
2781,3100000117,WIP,2211230021,01/07/2023,261,3001,50,0,50,REPROCESS
2781,3100000117,WIP,2212270020,01/07/2023,261,3001,56.57,0,56.57,REPROCESS
